Subject Contingency Block Time xMouse yMouse Sound 
2	1	1	2.102570e-02	536	476	0
2	1	1	4.025532e-01	537	471	0
2	1	1	4.194455e-01	545	448	0
2	1	1	4.361068e-01	567	399	0
2	1	1	4.537696e-01	572	387	0
2	1	1	4.693527e-01	579	377	0
2	1	1	4.860503e-01	583	369	0
2	1	1	5.032704e-01	587	364	0
2	1	1	5.196048e-01	589	359	0
2	1	1	5.358914e-01	593	355	0
2	1	1	5.528238e-01	597	352	0
2	1	1	5.696911e-01	603	345	0
2	1	1	5.860508e-01	607	340	0
2	1	1	6.035812e-01	610	336	0
2	1	1	6.193499e-01	617	328	0
2	1	1	6.361315e-01	623	322	0
2	1	1	6.527057e-01	632	313	0
2	1	1	6.700497e-01	637	307	0
2	1	1	6.864455e-01	642	301	0
2	1	1	7.046631e-01	646	293	0
2	1	1	7.195646e-01	648	292	0
2	1	1	7.363382e-01	651	289	0
2	1	1	7.528196e-01	652	286	0
2	1	1	7.693148e-01	653	285	0
2	1	1	7.863962e-01	656	282	0
2	1	1	8.032513e-01	658	280	0
2	1	1	8.198522e-01	661	277	0
2	1	1	8.441617e-01	663	275	0
2	1	1	8.543349e-01	665	273	0
2	1	1	8.698753e-01	668	271	0
2	1	1	8.863862e-01	670	270	0
2	1	1	9.198298e-01	672	269	0
2	1	1	9.532128e-01	673	269	0
2	1	1	9.693589e-01	675	269	0
2	1	1	9.891568e-01	676	269	0
2	1	1	1.003335e+00	679	269	0
2	1	1	1.022616e+00	681	269	0
2	1	1	1.040644e+00	683	269	0
2	1	1	1.053067e+00	684	269	0
2	1	1	1.073711e+00	686	269	0
2	1	1	1.087493e+00	687	269	0
2	1	1	1.103180e+00	688	269	0
2	1	1	1.120098e+00	689	269	0
2	1	1	1.153442e+00	690	269	0
2	1	1	1.169992e+00	690	268	0
2	1	1	2.105323e+00	700	268	0
2	1	1	2.122553e+00	710	268	0
2	1	1	2.138277e+00	730	268	0
2	1	1	2.154331e+00	747	268	0
2	1	1	2.170982e+00	763	268	0
2	1	1	2.187690e+00	780	267	0
2	1	1	2.204109e+00	789	267	0
2	1	1	2.225005e+00	800	267	0
2	1	1	2.239812e+00	806	267	0
2	1	1	2.254732e+00	812	267	0
2	1	1	2.273930e+00	822	266	0
2	1	1	2.288335e+00	829	266	0
2	1	1	2.304557e+00	834	266	0
2	1	1	2.321113e+00	842	264	0
2	1	1	2.337926e+00	847	263	0
2	1	1	2.354631e+00	853	263	0
2	1	1	2.371139e+00	861	262	0
2	1	1	2.390265e+00	867	262	0
2	1	1	2.404777e+00	880	261	0
2	1	1	2.424045e+00	888	260	0
2	1	1	2.438680e+00	895	259	0
2	1	1	2.454580e+00	904	259	0
2	1	1	2.474328e+00	909	259	0
2	1	1	2.489857e+00	914	259	0
2	1	1	2.507957e+00	919	259	0
2	1	1	2.523597e+00	921	259	0
2	1	1	2.539313e+00	926	259	0
2	1	1	2.558274e+00	928	259	0
2	1	1	2.573236e+00	931	259	0
2	1	1	2.595100e+00	933	260	0
2	1	1	2.617990e+00	934	260	2
2	1	1	2.638809e+00	940	262	0
2	1	1	2.659672e+00	941	262	0
2	1	1	2.678150e+00	943	263	0
2	1	1	2.699663e+00	945	264	0
2	1	1	2.706318e+00	946	265	0
2	1	1	2.721186e+00	948	265	0
2	1	1	2.738172e+00	949	265	0
2	1	1	2.757167e+00	952	266	0
2	1	1	2.791913e+00	954	267	0
2	1	1	2.806755e+00	956	269	0
2	1	1	2.821349e+00	957	269	0
2	1	1	2.841022e+00	958	269	0
2	1	1	2.871321e+00	959	269	0
2	1	1	2.887930e+00	960	269	0
2	1	1	2.904819e+00	961	269	0
2	1	1	2.921611e+00	961	270	0
2	1	1	4.873871e+00	963	270	0
2	1	1	4.895046e+00	975	269	0
2	1	1	4.909472e+00	988	266	0
2	1	1	4.924151e+00	1002	265	0
2	1	1	4.942816e+00	1019	263	0
2	1	1	4.957769e+00	1032	261	0
2	1	1	4.973871e+00	1044	258	0
2	1	1	4.990875e+00	1061	258	0
2	1	1	5.010818e+00	1070	257	0
2	1	1	5.025549e+00	1080	256	0
2	1	1	5.041274e+00	1087	256	0
2	1	1	5.060552e+00	1091	256	0
2	1	1	5.075680e+00	1101	255	0
2	1	1	5.090967e+00	1106	255	0
2	1	1	5.107844e+00	1114	254	0
2	1	1	5.124303e+00	1125	254	0
2	1	1	5.140916e+00	1132	254	0
2	1	1	5.160690e+00	1143	254	0
2	1	1	5.175326e+00	1147	254	0
2	1	1	5.191216e+00	1151	254	0
2	1	1	5.210327e+00	1158	254	0
2	1	1	5.224766e+00	1162	254	0
2	1	1	5.243429e+00	1166	254	0
2	1	1	5.257760e+00	1172	255	0
2	1	1	5.274370e+00	1176	256	0
2	1	1	5.292525e+00	1181	257	0
2	1	1	5.307927e+00	1187	257	0
2	1	1	5.324297e+00	1189	258	0
2	1	1	5.344207e+00	1195	259	0
2	1	1	5.358159e+00	1199	260	0
2	1	1	5.383291e+00	1204	261	0
2	1	1	5.848135e+00	1254	276	2
2	1	1	5.860962e+00	1255	276	0
2	1	1	7.160327e+00	1250	280	0
2	1	1	7.176882e+00	1244	286	0
2	1	1	7.193342e+00	1226	298	0
2	1	1	7.209931e+00	1200	314	0
2	1	1	7.227326e+00	1140	343	0
2	1	1	7.243351e+00	1096	358	0
2	1	1	7.260329e+00	1055	370	0
2	1	1	7.277154e+00	1012	386	0
2	1	1	7.293491e+00	996	390	0
2	1	1	7.310542e+00	980	395	0
2	1	1	7.326558e+00	972	397	0
