Subject Contingency Block Trial Condition TrialType EventType EventTime SoundID AnimationID MovDir Congruency Response 
25	0	NaN	NaN	1	NaN	1	8.342532e-02	NaN	NaN	NaN	NaN	NaN
25	0	1	NaN	1	1	1	3.940619e+00	NaN	NaN	NaN	NaN	NaN
25	0	1	NaN	1	1	2	6.074805e+00	3	NaN	NaN	NaN	NaN
25	0	1	NaN	1	1	2	7.842830e+00	1	NaN	NaN	NaN	NaN
25	0	1	NaN	1	1	2	9.545833e+00	2	NaN	NaN	NaN	NaN
25	0	1	NaN	1	1	2	1.144941e+01	4	NaN	NaN	NaN	NaN
25	0	1	NaN	1	1	2	1.311668e+01	3	NaN	NaN	NaN	NaN
25	0	1	NaN	1	1	2	1.465463e+01	1	NaN	NaN	NaN	NaN
25	0	1	NaN	1	1	2	1.610504e+01	2	NaN	NaN	NaN	NaN
25	0	1	NaN	1	1	2	1.765955e+01	6	NaN	NaN	NaN	NaN
25	0	1	NaN	1	1	2	1.929588e+01	7	NaN	NaN	NaN	NaN
25	0	1	NaN	1	1	2	2.111392e+01	6	NaN	NaN	NaN	NaN
25	0	1	NaN	1	1	2	2.323843e+01	7	NaN	NaN	NaN	NaN
25	0	1	NaN	1	1	1	2.396292e+01	NaN	NaN	NaN	NaN	NaN
25	0	1	1	1	2	1	2.498420e+01	NaN	NaN	NaN	NaN	NaN
25	0	1	1	1	2	3	-8.696564e+03	1	36	1	1	NaN
25	0	1	1	1	2	1	2.775143e+01	NaN	NaN	NaN	NaN	NaN
25	0	1	1	1	2	4	2.885674e+01	1	36	1	1	0
25	0	1	2	1	2	1	3.026099e+01	NaN	NaN	NaN	NaN	NaN
25	0	1	2	1	2	3	-8.696564e+03	2	35	7	0	NaN
25	0	1	2	1	2	1	3.302788e+01	NaN	NaN	NaN	NaN	NaN
25	0	1	2	1	2	4	3.376525e+01	2	35	7	0	1
25	0	1	3	1	2	1	3.553729e+01	NaN	NaN	NaN	NaN	NaN
25	0	1	3	1	2	3	-8.696564e+03	5	17	5	1	NaN
