"","Subject","Level","Block","Trial","Condition","TrialType","EventType","EventTime","SoundID","AnimationID","MovDir","Congruency","Response","Correctness"
"121",16,1,5,NA,"1",1,2,161.3932,7,NA,NA,NA,NA,NA
"122",16,1,5,NA,"1",1,2,162.4284,6,NA,NA,NA,NA,NA
"123",16,1,5,NA,"1",1,2,163.497,6,NA,NA,NA,NA,NA
"124",16,1,5,NA,"1",1,2,164.6654,7,NA,NA,NA,NA,NA
"125",16,1,5,NA,"1",1,2,165.701,6,NA,NA,NA,NA,NA
"126",16,1,5,NA,"1",1,2,166.7361,7,NA,NA,NA,NA,NA
"127",16,1,5,NA,"1",1,2,167.7714,6,NA,NA,NA,NA,NA
"128",16,1,5,NA,"1",1,2,168.8066,7,NA,NA,NA,NA,NA
"129",16,1,5,NA,"1",1,2,169.875,8,NA,NA,NA,NA,NA
"130",16,1,5,NA,"1",1,2,170.9105,5,NA,NA,NA,NA,NA
"131",16,1,5,NA,"1",1,2,172.1624,8,NA,NA,NA,NA,NA
"132",16,1,5,NA,"1",1,2,173.198,5,NA,NA,NA,NA,NA
"133",16,1,5,NA,"1",1,2,174.3334,8,NA,NA,NA,NA,NA
"134",16,1,5,NA,"1",1,2,175.3694,5,NA,NA,NA,NA,NA
"135",16,1,5,NA,"1",1,2,176.5537,7,NA,NA,NA,NA,NA
"136",16,1,5,NA,"1",1,2,177.5892,6,NA,NA,NA,NA,NA
"137",16,1,5,NA,"1",1,2,178.6244,6,NA,NA,NA,NA,NA
"138",16,1,5,NA,"1",1,1,179.6633,NA,NA,NA,NA,NA,NA
"139",16,1,5,1,"1",2,1,180.6814,NA,NA,NA,NA,NA,NA
"140",16,1,5,1,"1",2,3,181.6962,3,39,3,1,NA,NA
"141",16,1,5,1,"1",2,1,181.6983,NA,NA,NA,NA,NA,NA
"142",16,1,5,1,"1",2,4,183.4057,3,39,3,1,1,TRUE
"143",16,1,5,2,"1",2,1,184.2034,NA,NA,NA,NA,NA,NA
"144",16,1,5,2,"1",2,3,185.2192,8,8,8,1,NA,NA
"145",16,1,5,2,"1",2,1,185.2214,NA,NA,NA,NA,NA,NA
"146",16,1,5,2,"1",2,4,187.5188,8,8,8,1,0,FALSE
"147",16,1,5,3,"1",2,1,187.7268,NA,NA,NA,NA,NA,NA
"148",16,1,5,3,"1",2,3,188.7424,7,32,2,0,NA,NA
"149",16,1,5,3,"1",2,1,188.7445,NA,NA,NA,NA,NA,NA
"150",16,1,5,3,"1",2,4,190.4642,7,32,2,0,0,TRUE
"151",16,1,6,NA,"1",1,1,195.5714,NA,NA,NA,NA,NA,NA
"152",16,1,6,NA,"1",1,2,196.7236,3,NA,NA,NA,NA,NA
"153",16,1,6,NA,"1",1,2,197.8256,4,NA,NA,NA,NA,NA
"154",16,1,6,NA,"1",1,2,199.6122,3,NA,NA,NA,NA,NA
"155",16,1,6,NA,"1",1,2,200.7142,4,NA,NA,NA,NA,NA
"156",16,1,6,NA,"1",1,2,202.1334,2,NA,NA,NA,NA,NA
"157",16,1,6,NA,"1",1,2,203.3022,1,NA,NA,NA,NA,NA
"158",16,1,6,NA,"1",1,2,204.471,4,NA,NA,NA,NA,NA
"159",16,1,6,NA,"1",1,2,205.5068,3,NA,NA,NA,NA,NA
"160",16,1,6,NA,"1",1,2,206.5417,2,NA,NA,NA,NA,NA
"161",16,1,6,NA,"1",1,2,207.5772,1,NA,NA,NA,NA,NA
"162",16,1,6,NA,"1",1,2,208.879,2,NA,NA,NA,NA,NA
"163",16,1,6,NA,"1",1,2,209.9977,1,NA,NA,NA,NA,NA
"164",16,1,6,NA,"1",1,2,211.0335,3,NA,NA,NA,NA,NA
"165",16,1,6,NA,"1",1,2,212.6525,4,NA,NA,NA,NA,NA
"166",16,1,6,NA,"1",1,2,214.2387,5,NA,NA,NA,NA,NA
"167",16,1,6,NA,"1",1,1,215.5922,NA,NA,NA,NA,NA,NA
"168",16,1,6,1,"1",2,1,216.6134,NA,NA,NA,NA,NA,NA
"169",16,1,6,1,"1",2,3,217.6281,5,17,5,1,NA,NA
"170",16,1,6,1,"1",2,1,217.6303,NA,NA,NA,NA,NA,NA
"171",16,1,6,1,"1",2,4,219.2556,5,17,5,1,1,TRUE
"172",16,1,6,2,"1",2,1,220.138,NA,NA,NA,NA,NA,NA
"173",16,1,6,2,"1",2,3,221.1511,4,11,4,1,NA,NA
"174",16,1,6,2,"1",2,1,221.1533,NA,NA,NA,NA,NA,NA
"175",16,1,6,2,"1",2,4,222.8545,4,11,4,1,1,TRUE
"176",16,1,6,3,"1",2,1,223.6585,NA,NA,NA,NA,NA,NA
"177",16,1,6,3,"1",2,3,224.6742,2,39,3,0,NA,NA
"178",16,1,6,3,"1",2,1,224.6764,NA,NA,NA,NA,NA,NA
"179",16,1,6,3,"1",2,4,226.4739,2,39,3,0,0,TRUE
"180",16,1,7,NA,"1",1,1,233.0228,NA,NA,NA,NA,NA,NA
"181",16,1,7,NA,"1",1,2,234.2584,2,NA,NA,NA,NA,NA
"182",16,1,7,NA,"1",1,2,235.294,1,NA,NA,NA,NA,NA
"183",16,1,7,NA,"1",1,2,237.4976,1,NA,NA,NA,NA,NA
"184",16,1,7,NA,"1",1,2,238.5331,2,NA,NA,NA,NA,NA
"185",16,1,7,NA,"1",1,2,239.5684,1,NA,NA,NA,NA,NA
"186",16,1,7,NA,"1",1,2,240.6036,2,NA,NA,NA,NA,NA
"187",16,1,7,NA,"1",1,2,241.672,3,NA,NA,NA,NA,NA
"188",16,1,7,NA,"1",1,2,242.7074,3,NA,NA,NA,NA,NA
"189",16,1,7,NA,"1",1,2,243.7426,3,NA,NA,NA,NA,NA
"190",16,1,7,NA,"1",1,2,245.6625,4,NA,NA,NA,NA,NA
"191",16,1,7,NA,"1",1,2,247.616,2,NA,NA,NA,NA,NA
"192",16,1,7,NA,"1",1,2,249.0018,1,NA,NA,NA,NA,NA
